DATE,LTCYUK
1753-07-01,2.86
1753-10-01,2.88
1754-01-01,2.92
1754-04-01,2.88
1754-07-01,2.89
1754-10-01,2.91
1755-01-01,2.99
1755-04-01,3.04
1755-07-01,3.23
1755-10-01,3.28
1756-01-01,3.36
1756-04-01,3.34
1756-07-01,3.36
1756-10-01,3.39
1757-01-01,3.40
1757-04-01,3.34
1757-07-01,3.33
1757-10-01,3.30
1758-01-01,3.25
1758-04-01,3.14
1758-07-01,3.27
1758-10-01,3.33
1759-01-01,3.48
1759-04-01,3.75
1759-07-01,3.73
1759-10-01,3.57
1760-01-01,3.71
1760-04-01,3.61
1760-07-01,3.60
1760-10-01,3.80
1761-01-01,4.01
1761-04-01,3.44
1761-07-01,3.91
1761-10-01,4.32
1762-01-01,4.52
1762-04-01,4.21
1762-07-01,3.69
1762-10-01,3.47
1763-01-01,3.23
1763-04-01,3.20
1763-07-01,3.48
1763-10-01,3.53
1764-01-01,3.54
1764-04-01,3.47
1764-07-01,3.59
1764-10-01,3.51
1765-01-01,3.45
1765-04-01,3.41
1765-07-01,3.34
1765-10-01,3.27
1766-01-01,3.37
1766-04-01,3.33
1766-07-01,3.37
1766-10-01,3.35
1767-01-01,3.37
1767-04-01,3.37
1767-07-01,3.41
1767-10-01,3.31
1768-01-01,3.27
1768-04-01,3.18
1768-07-01,3.35
1768-10-01,3.38
1769-01-01,3.39
1769-04-01,3.36
1769-07-01,3.37
1769-10-01,3.46
1770-01-01,3.52
1770-04-01,3.48
1770-07-01,3.64
1770-10-01,3.83
1771-01-01,3.49
1771-04-01,3.39
1771-07-01,3.45
1771-10-01,3.43
1772-01-01,3.40
1772-04-01,3.35
1772-07-01,3.40
1772-10-01,3.40
1773-01-01,3.42
1773-04-01,3.56
1773-07-01,3.42
1773-10-01,3.43
1774-01-01,3.46
1774-04-01,3.40
1774-07-01,3.38
1774-10-01,3.34
1775-01-01,3.41
1775-04-01,3.37
1775-07-01,3.39
1775-10-01,3.36
1776-01-01,3.47
1776-04-01,3.53
1776-07-01,3.58
1776-10-01,3.66
1777-01-01,3.77
1777-04-01,3.78
1777-07-01,3.88
1777-10-01,3.87
1778-01-01,4.50
1778-04-01,4.89
1778-07-01,4.71
1778-10-01,4.76
1779-01-01,4.92
1779-04-01,4.81
1779-07-01,4.94
1779-10-01,4.86
1780-01-01,4.94
1780-04-01,4.85
1780-07-01,4.87
1780-10-01,4.93
1781-01-01,5.13
1781-04-01,5.10
1781-07-01,5.00
1781-10-01,5.26
1782-01-01,5.43
1782-04-01,5.02
1782-07-01,5.23
1782-10-01,4.94
1783-01-01,4.41
1783-04-01,4.46
1783-07-01,4.82
1783-10-01,5.18
1784-01-01,5.26
1784-04-01,5.14
1784-07-01,4.81
1784-10-01,5.11
1785-01-01,5.40
1785-04-01,4.92
1785-07-01,5.09
1785-10-01,4.35
1786-01-01,4.29
1786-04-01,4.12
1786-07-01,3.90
1786-10-01,3.99
1787-01-01,4.00
1787-04-01,3.95
1787-07-01,4.18
1787-10-01,3.92
1788-01-01,3.98
1788-04-01,3.98
1788-07-01,4.03
1788-10-01,4.03
1789-01-01,4.09
1789-04-01,3.94
1789-07-01,3.78
1789-10-01,3.82
1790-01-01,3.82
1790-04-01,3.94
1790-07-01,3.97
1790-10-01,3.84
1791-01-01,3.79
1791-04-01,4.08
1791-07-01,3.45
1791-10-01,3.39
1792-01-01,3.15
1792-04-01,3.23
1792-07-01,3.29
1792-10-01,3.64
1793-01-01,3.99
1793-04-01,3.88
1793-07-01,3.94
1793-10-01,4.03
1794-01-01,4.48
1794-04-01,4.29
1794-07-01,4.52
1794-10-01,4.47
1795-01-01,4.80
1795-04-01,4.50
1795-07-01,4.43
1795-10-01,4.35
1796-01-01,4.39
1796-04-01,4.62
1796-07-01,4.93
1796-10-01,5.33
1797-01-01,5.14
1797-04-01,6.00
1797-07-01,5.82
1797-10-01,6.08
1798-01-01,6.11
1798-04-01,6.12
1798-07-01,5.98
1798-10-01,5.51
