,Bank Rate,,Treasury Bill Rate,,Prime Commercial Bill/Paper Rate,,London Clearing Banks Base Rate,LIBOR,Mortgage Interest Rate,Halifax Building Society - range of mortgage rates ,Effective Mortgage Rate,Rate on variable rate/tracker mortgages,Rate on Corporate Borrowing,Bank Sight deposit rate,1 year ahead expectations made at start of year,annual average of three month rates minus 1 year head expectation at start of year,,Yield on 10 year/medium-term British Government Securities,Yield on perpetual annuities/consols,Yield on Corporate Bonds,Corporate Bond Spreads,Share price indices,,Long-term inflation expectations,,,,Real long-rates,Memo:,Annual Share price components,,,,,,
1688,,,,,,,,,6,,,,,,0,,,,,,,,,-0.197397328,-3.367176302,,-0.197397328,,,,,,,,,
1689,,,,,,,,,6,,,,,,-1.234567901,,,,,,,,,0.203625478,-3.008588298,,0.203625478,,,,,,,,,
1690,,,,,,,,,6,,,,,,2.5,,,,,,,,,0.644410691,0.87962963,,0.644410691,,,,,,,,,
1691,,,,,,,,,6,,,,,,1.219512195,,,,,,,,,1.057848616,1.112842517,,1.057848616,,,,,,,,,
1692,,,,,,,,,6,,,,,,-1.204819277,,,,,,,,,1.395385451,0.26344402,,1.395385451,,,,,,,,,
1693,,,,,,,,,6,,,,,,4.87804878,,,,,,,,,1.610088908,2.321481046,,1.610088908,,,,,,,,,
1694,6,,,,,,,,6,,,,,,10.46511628,,,,,,,,,1.629072844,6.455008918,,1.629072844,,,,,,,,,
1695,3,3.625,,,,,,,6,,,,,,0,3.625,-0.49014464,,,,,,,1.412150228,4.11514464,,1.412150228,,,,,,,,,
1696,3,3,,,,,,,6,,,,,,4.400345125,-1.400345125,-1.293195818,,,,,,,1.007543299,4.293195818,,1.007543299,,,,,,,,,
1697,3,3,,,,,,,6,,,,,,0.826446281,2.173553719,1.266673322,,,,,,,0.449352795,1.733326678,,0.449352795,,,,,,,,,
1698,3,3,,,,,,,6,,,,,,4.918032787,-1.918032787,-0.587019303,,,,,,,-0.194395979,3.587019303,,-0.194395979,,,,,,,,,
1699,4.5,3.75,,,,,,,6,,,,,,3.125,0.625,0.546800908,,,,,,,-0.851871247,3.203199092,,-0.851871247,,,,,,,,,
1700,4.5,4.5,,,,,,,6,,,,,,-12.87878788,17.37878788,9.018287382,,,,,0.838103472,,-1.400097272,-4.518287382,,-1.400097272,,,74.2,,,,,,
1701,4.5,4.5,,,,,,,6,,,,,,-13.04347826,17.54347826,14.26037549,,,,,0.760166612,,-1.676379606,-9.760375494,,-1.676379606,,,67.29999875,,,,,,
1702,4.5,4.5,,,,,,,6,,,,,,-1,5.5,11.48880105,,,,,0.808735958,,-1.632822827,-6.988801054,,-1.632822827,,,71.5999994,,,,,,
