year,war,ccodea,ccodeb,original,contig.x,rivals,allies,democ_a,pow_prev,mil_prev,pow_abs,mil_abs,relpow,rate,powershift,lndistance,contig.y,dem,s_un_glo,peaceyrs,peaceyrs2,peaceyrs3,real,namea,nameb,nameyear,plotname
1822,1,220,230,1,1,0,0,0,0,0,0,0,0.27621305,3.7625,-0.053858861,6.486160755,1,0,0.826086998,0,0,0,6.041092641,FRN,SPN,FRN-SPN 1822,NA
1827,1,365,640,1,1,0,0,0,0,0.0047,0,0.0047,0.324787676,3.585,0.004634231,7.016609669,1,0,0.786666989,0,0,0,4.559085103,RUS,TUR,RUS-TUR 1827,NA
1836,0,211,220,1,1,0,1,0,0,0.0119,0,0.0119,0.320868403,3.3475,-0.023491561,5.09375,1,0,0.65517199,6,36,216,2.761462602,BEL,FRN,BEL-FRN 1836,NA
1839,0,325,200,1,0,0,0,0,-0.001494,-0.002414,0.001494,0.002414,0.059243385,3.29,0.005190253,6.345636368,0,0,0.541666985,90,8100,729000,2.78280021,ITA,UKG,ITA-UKG 1839,NA
1841,0,300,210,1,0,0,0,0,-0.008267,0,0.008267,0,0.235678032,3.385,-0.008677207,6.363028049,0,0,0.235293999,193,37249,7189057,3.358534575,AUH,NTH,AUH-NTH 1841,NA
1841,0,155,365,1,0,0,0,0,0,0.00021,0,0.00021,0.00578042,3.385,0.001894712,9.081255913,0,0,0.705882013,2,4,8,3.358534575,CHL,RUS,CHL-RUS 1841,NA
1842,0,255,327,1,0,0,0,0,0,0.00182,0,0.00182,0.07605128,3.2875,-0.008788228,6.599870682,0,0,0.371428996,141,19881,2803221,3.43475854,GMY,PAP,GMY-PAP 1842,NA
1843,1,2,70,1,1,1,0,1,-0.00185,-0.00437,0.00185,0.00437,0.119396634,3.1675,-0.078847051,7.542743683,1,0,0.888889015,0,0,0,3.363667481,USA,MEX,USA-MEX 1843,NA
1846,0,640,220,1,0,0,0,0,0,0.00115,0,0.00115,0.243582264,3.165,0.020599842,7.388328075,0,0,0.891892016,12,144,1728,3.152164384,TUR,FRN,TUR-FRN 1846,NA
1848,1,337,300,0,1,0,0,0,-0.00082,-0.00037,0.00082,0.00037,0.021564327,3.52,0.000409842,5.968707561,0,0,0.384615004,200,40000,8.00E+06,3.515688995,TUS,AUH,TUS-AUH 1848,NA
1848,0,235,300,1,0,0,0,0,0,0,0,0,0.120699197,3.52,0.01217556,7.26402998,0,0,0.179487005,85,7225,614125,3.515688995,POR,AUH,POR-AUH 1848,NA
1848,1,255,390,1,1,0,0,0,0,0.0009,0,0.0009,0.094719186,3.52,0.080098376,5.393627644,0,0,0.384615004,127,16129,2048383,3.515688995,GMY,DEN,GMY-DEN 1848,NA
1848,1,325,300,1,1,0,0,0,-0.00075,0,0.00075,0,0.153839827,3.52,0.013524592,6.137727261,1,0,0.333332986,26,676,17576,3.515688995,ITA,AUH,ITA-AUH 1848,NA
1848,1,332,300,0,1,0,1,0,-0.00024,-0.00025,0.00024,0.00025,0.005194175,3.52,0.000875771,5.874930859,1,0,0.384615004,6,36,216,3.515688995,MOD,AUH,MOD-AUH 1848,NA
1849,1,220,327,0,0,0,0,1,-0.00028,0,0.00028,0,0.02844052,3.2525,0.014613273,6.533788681,0,0,0.897436023,38,1444,54872,3.102882755,FRN,PAP,FRN-PAP 1849,NA
1849,0,220,210,1,0,0,0,1,0,-0.005963,0,0.005963,0.08962024,3.2525,0.010743506,5.583496094,0,0,0.897436023,15,225,3375,3.102882755,FRN,NTH,FRN-NTH 1849,NA
1849,1,300,327,1,1,0,0,0,-0.00037,0,0.00037,0,0.059214681,3.2525,0.019082,6.161207199,1,0,0.794871986,0,0,0,3.102882755,AUH,PAP,AUH-PAP 1849,NA
1849,1,329,327,0,1,0,0,0,0,-0.0003,0,0.0003,0.31609121,3.2525,0.061053291,4.770684719,1,0,0.897436023,41,1681,68921,3.102882755,SIC,PAP,SIC-PAP 1849,NA
1851,1,140,160,1,1,0,0,0,0.011,0.030999999,0.011,0.030999999,0.320632488,3.1125,-0.041858181,7.287560463,1,0,0.899999976,10,100,1000,2.277156232,BRA,ARG,BRA-ARG 1851,La Plata War
1853,1,640,365,1,1,0,0,0,0,0,0,0,0.305617481,3.1,0.013115168,7.016609669,1,0,0.850000024,3,9,27,1.560607815,TUR,RUS,TUR-RUS 1853,NA
1853,0,140,365,1,0,0,0,0,0,0,0,0,0.063467331,3.1,0.029987514,8.846784592,0,0,0.850000024,31,961,29791,1.560607815,BRA,RUS,BRA-RUS 1853,NA
1853,1,220,365,0,0,0,0,0,0,0,0,0,0.799270689,3.1,0.041252077,7.344072819,0,0,0.850000024,3,9,27,1.560607815,FRN,RUS,FRN-RUS 1853,NA
1853,1,200,365,0,0,0,0,0,0,0,0,0,0.676692963,3.1,-0.225718021,7.349230766,0,0,0.783333004,3,9,27,1.560607815,UKG,RUS,UKG-RUS 1853,NA
1853,0,235,200,1,0,0,0,0,0.00137,0.00536,0.00137,0.00536,0.047867581,3.1,0.031671405,6.893656254,0,0,0.983332992,21,441,9261,1.560607815,POR,UKG,POR-UKG 1853,NA
1854,0,200,275,1,0,0,0,0,0,0,0,0,0.006631049,3.2975,NA,5.981414318,0,NA,0.349593014,206,42436,8741816,1.683871833,UKG,HSG,UKG-HSG 1854,NA
1855,1,325,365,0,0,0,0,0,0,0,0,0,0.092650451,3.3525,-0.005577445,7.309881687,0,0,0.767441988,42,1764,74088,1.860802289,ITA,RUS,ITA-RUS 1855,NA
1856,1,200,630,1,0,0,0,0,-0.00024,-0.0146,0.00024,0.0146,0.015449447,3.23,0.035563655,7.914252281,0,0,0.627906978,1,1,1,1.982851122,UKG,IRN,UKG-IRN 1856,NA
1856,0,616,365,1,0,0,0,0,0.000255,0,0.000255,0,0.019400435,3.23,-0.004784167,7.512617588,0,NA,0.906976998,31,961,29791,1.982851122,TUN,RUS,TUN-RUS 1856,NA
1858,0,267,271,1,1,0,1,0,-0.005344,-0.00914,0.005344,0.00914,0.840851307,3.115,0.027898073,3.80666256,1,0,1,210,44100,9261000,2.340567731,BAD,WRT,BAD-WRT 1858,NA
1859,0,365,235,1,0,0,0,0,-0.001018,-0.001398,0.001018,0.001398,0.058294501,3.195,0.020988833,7.795235157,0,0,0.833333015,46,2116,97336,2.52047049,RUS,POR,RUS-POR 1859,NA
1859,1,220,300,1,0,0,0,0,0.00349,0.00516,0.00349,0.00516,0.518827558,3.195,0.023642421,6.464588165,0,0,0.42424199,10,100,1000,2.52047049,FRN,AUH,FRN-AUH 1859,NA
1859,1,230,600,1,0,0,0,0,0.00119,0,0.00119,0,0.048250385,3.195,0.101185828,6.159095287,0,0,0.909090996,12,144,1728,2.52047049,SPN,MOR,SPN-MOR 1859,NA
1859,1,325,300,1,1,0,0,0,0,0,0,0,0.148906097,3.195,-0.143530548,6.137727261,1,0,0.363635987,5,25,125,2.52047049,ITA,AUH,ITA-AUH 1859,NA
1860,1,325,327,1,0,0,0,0,0,0,0,0,0.371823639,3.2175,0.049651258,5.786897182,0,0,0.913043022,140,19600,2744000,2.591866926,ITA,PAP,ITA-PAP 1860,NA
1860,0,245,255,1,0,0,1,0,-0.004697,-0.01059,0.004697,0.01059,0.125608981,3.2175,-0.097725093,5.746203423,1,0,1,9,81,729,2.591866926,BAV,GMY,BAV-GMY 1860,NA
1860,1,325,329,1,0,0,0,0,0,0,0,0,0.754584372,3.2175,0.038332388,6.093569756,1,0,0.913043022,140,19600,2744000,2.591866926,ITA,SIC,ITA-SIC 1860,NA
1861,0,300,230,1,0,0,0,0,0.00168,0,0.00168,0,0.349968016,3.2875,0.021978557,7.023758888,0,0,0.476190001,37,1369,50653,2.713032905,AUH,SPN,AUH-SPN 1861,NA
1861,1,220,70,1,0,0,0,0,0,0,0,0,0.048735682,3.2875,0.013357069,8.651549339,0,0,0.761905015,21,441,9261,2.713032905,FRN,MEX,FRN-MEX 1861,NA
1863,1,150,140,1,1,0,0,0,0,0,0,0,0.088553309,3.2575,-0.102823138,6.813444614,1,0,0.853658974,0,0,0,2.726254446,PAR,BRA,PAR-BRA 1863,NA
