"year","war","ccodea","ccodeb","original","contig.x","rivals","allies","democ_a","pow_prev","mil_prev","pow_abs","mil_abs","relpow","rate","powershift","lndistance","contig.y","dem","s_un_glo","peaceyrs","peaceyrs2","peaceyrs3","real"
1822,1,220,230,1,1,0,0,0,0,0,0,0,0.276213049888611,3.7625,-0.0538588613271713,6.48616075515747,1,0,0.82608699798584,0,0,0,6.041092641
1827,1,365,640,1,1,0,0,0,0,0.00469999993219972,0,0.00469999993219972,0.324787676334381,3.585,0.00463423132896423,7.01660966873169,1,0,0.786666989326477,0,0,0,4.559085103
1836,0,211,220,1,1,0,1,0,0,0.0119000002741814,0,0.0119000002741814,0.320868402719498,3.3475,-0.0234915614128113,5.09375,1,0,0.655171990394592,6,36,216,2.761462602
1839,0,325,200,1,0,0,0,0,-0.00149399996735156,-0.00241399998776615,0.00149399996735156,0.00241399998776615,0.0592433847486973,3.29,0.00519025325775146,6.34563636779785,0,0,0.541666984558105,90,8100,729000,2.78280021
1841,0,300,210,1,0,0,0,0,-0.00826700031757355,0,0.00826700031757355,0,0.235678032040596,3.385,-0.00867720693349838,6.36302804946899,0,0,0.235293999314308,193,37249,7189057,3.358534575
1841,0,155,365,1,0,0,0,0,0,0.000209999998332933,0,0.000209999998332933,0.00578041980043054,3.385,0.00189471244812012,9.08125591278076,0,0,0.705882012844086,2,4,8,3.358534575
1842,0,255,327,1,0,0,0,0,0,0.00182000000495464,0,0.00182000000495464,0.0760512799024582,3.2875,-0.00878822803497314,6.5998706817627,0,0,0.371428996324539,141,19881,2803221,3.43475854
1843,1,2,70,1,1,1,0,1,-0.00185000000055879,-0.00437000021338463,0.00185000000055879,0.00437000021338463,0.119396634399891,3.1675,-0.0788470506668091,7.54274368286133,1,0,0.888889014720917,0,0,0,3.363667481
1846,0,640,220,1,0,0,0,0,0,0.00115000002551824,0,0.00115000002551824,0.243582263588905,3.165,0.0205998420715332,7.38832807540894,0,0,0.89189201593399,12,144,1728,3.152164384
1848,1,337,300,0,1,0,0,0,-0.000820000015664846,-0.000369999994290993,0.000820000015664846,0.000369999994290993,0.0215643271803856,3.52,0.000409841537475586,5.96870756149292,0,0,0.384615004062653,200,40000,8e+06,3.515688995
1848,0,235,300,1,0,0,0,0,0,0,0,0,0.120699197053909,3.52,0.0121755599975586,7.26402997970581,0,0,0.179487004876137,85,7225,614125,3.515688995
1848,1,255,390,1,1,0,0,0,0,0.000899999984540045,0,0.000899999984540045,0.094719186425209,3.52,0.0800983756780624,5.39362764358521,0,0,0.384615004062653,127,16129,2048383,3.515688995
1848,1,325,300,1,1,0,0,0,-0.000750000006519258,0,0.000750000006519258,0,0.153839826583862,3.52,0.01352459192276,6.1377272605896,1,0,0.333332985639572,26,676,17576,3.515688995
1848,1,332,300,0,1,0,1,0,-0.00023999999393709,-0.000250000011874363,0.00023999999393709,0.000250000011874363,0.00519417505711317,3.52,0.000875771045684814,5.87493085861206,1,0,0.384615004062653,6,36,216,3.515688995
1849,1,220,327,0,0,0,0,1,-0.00028000000747852,0,0.00028000000747852,0,0.0284405201673508,3.2525,0.0146132726222277,6.53378868103027,0,0,0.897436022758484,38,1444,54872,3.102882755
1849,0,220,210,1,0,0,0,1,0,-0.00596300000324845,0,0.00596300000324845,0.0896202400326729,3.2525,0.0107435062527657,5.58349609375,0,0,0.897436022758484,15,225,3375,3.102882755
1849,1,300,327,1,1,0,0,0,-0.000369999994290993,0,0.000369999994290993,0,0.0592146813869476,3.2525,0.0190820004791021,6.16120719909668,1,0,0.794871985912323,0,0,0,3.102882755
1849,1,329,327,0,1,0,0,0,0,-0.000300000014249235,0,0.000300000014249235,0.31609120965004,3.2525,0.0610532909631729,4.77068471908569,1,0,0.897436022758484,41,1681,68921,3.102882755
1851,1,140,160,1,1,0,0,0,0.0109999999403954,0.0309999994933605,0.0109999999403954,0.0309999994933605,0.320632487535477,3.1125,-0.0418581813573837,7.28756046295166,1,0,0.899999976158142,10,100,1000,2.277156232
1853,1,640,365,1,1,0,0,0,0,0,0,0,0.305617481470108,3.1,0.0131151676177979,7.01660966873169,1,0,0.850000023841858,3,9,27,1.560607815
1853,0,140,365,1,0,0,0,0,0,0,0,0,0.0634673312306404,3.1,0.0299875140190125,8.8467845916748,0,0,0.850000023841858,31,961,29791,1.560607815
1853,1,220,365,0,0,0,0,0,0,0,0,0,0.799270689487457,3.1,0.041252076625824,7.3440728187561,0,0,0.850000023841858,3,9,27,1.560607815
1853,1,200,365,0,0,0,0,0,0,0,0,0,0.676692962646484,3.1,-0.225718021392822,7.34923076629639,0,0,0.783333003520966,3,9,27,1.560607815
1853,0,235,200,1,0,0,0,0,0.00136999995447695,0.00535999983549118,0.00136999995447695,0.00535999983549118,0.0478675812482834,3.1,0.031671404838562,6.8936562538147,0,0,0.983332991600037,21,441,9261,1.560607815
1854,0,200,275,1,0,0,0,0,0,0,0,0,0.00663104932755232,3.2975,NA,5.98141431808472,0,NA,0.349593013525009,206,42436,8741816,1.683871833
1855,1,325,365,0,0,0,0,0,0,0,0,0,0.0926504507660866,3.3525,-0.0055774450302124,7.30988168716431,0,0,0.767441987991333,42,1764,74088,1.860802289
1856,1,200,630,1,0,0,0,0,-0.00023999999393709,-0.0146000003442168,0.00023999999393709,0.0146000003442168,0.0154494466260076,3.23,0.0355636551976204,7.91425228118896,0,0,0.627906978130341,1,1,1,1.982851122
1856,0,616,365,1,0,0,0,0,0.000254999991739169,0,0.000254999991739169,0,0.0194004345685244,3.23,-0.00478416681289673,7.51261758804321,0,NA,0.906976997852325,31,961,29791,1.982851122
